serial_no,floor_level,zone_id,Date,Month,ta,lux,spl
40A249A8,28,50,2019/10/6,10,25.4,0,44
40A249A8,28,50,2019/10/6,10,25.39,0,44
40A249A8,28,50,2019/10/6,10,25.39,0,44
40A249A8,28,50,2019/10/6,10,25.38,0,44
40A249A8,28,50,2019/10/6,10,25.38,0,44
40A249A8,28,50,2019/10/6,10,25.37,0,44
40A249A8,28,50,2019/10/6,10,25.37,0,44
40A249A8,28,50,2019/10/6,10,25.37,0,44
40A249A8,28,50,2019/10/6,10,25.36,0,43
40A249A8,28,50,2019/10/6,10,25.35,0,44
40A249A8,28,50,2019/10/6,10,25.34,0,44
40A249A8,28,50,2019/10/6,10,25.34,0,44
40A249A8,28,50,2019/10/6,10,25.33,0,44
40A249A8,28,50,2019/10/6,10,25.35,0,44
40A249A8,28,50,2019/10/6,10,25.35,0,44
40A249A8,28,50,2019/10/6,10,25.35,0,44
40A249A8,28,50,2019/10/6,10,25.34,0,44
40A249A8,28,50,2019/10/6,10,25.33,0,44
40A249A8,28,50,2019/10/6,10,25.34,0,44
40A249A8,28,50,2019/10/6,10,25.32,0,44
40A249A8,28,50,2019/10/6,10,25.31,0,44
40A249A8,28,50,2019/10/6,10,25.31,0,44
40A249A8,28,50,2019/10/6,10,25.3,0,44
40A249A8,28,50,2019/10/6,10,25.31,0,44
40A249A8,28,50,2019/10/6,10,25.3,0,44
40A249A8,28,50,2019/10/6,10,25.28,0,43
40A249A8,28,50,2019/10/6,10,25.26,0,44
40A249A8,28,50,2019/10/6,10,25.25,0,44
40A249A8,28,50,2019/10/6,10,25.27,0,44
40A249A8,28,50,2019/10/6,10,25.3,0,44
40A249A8,28,50,2019/10/6,10,25.32,0,44
40A249A8,28,50,2019/10/6,10,25.33,0,44
40A249A8,28,50,2019/10/6,10,25.34,0,44
40A249A8,28,50,2019/10/6,10,25.35,0,44
40A249A8,28,50,2019/10/6,10,25.36,0,44
40A249A8,28,50,2019/10/6,10,25.38,0,44
40A249A8,28,50,2019/10/6,10,25.4,0,44
40A249A8,28,50,2019/10/6,10,25.42,0,44
40A249A8,28,50,2019/10/6,10,25.43,0,44
40A249A8,28,50,2019/10/6,10,25.44,0,44
40A249A8,28,50,2019/10/6,10,25.46,0,44
40A249A8,28,50,2019/10/6,10,25.48,0,43
40A249A8,28,50,2019/10/6,10,25.49,0,44
40A249A8,28,50,2019/10/6,10,25.51,0,44
40A249A8,28,50,2019/10/6,10,25.52,0,44
40A249A8,28,50,2019/10/6,10,25.54,0,44
40A249A8,28,50,2019/10/6,10,25.55,0,44
40A249A8,28,50,2019/10/6,10,25.58,0,46
40A249A8,28,50,2019/10/6,10,25.59,0,46
40A249A8,28,50,2019/10/6,10,25.61,0,44
40A249A8,28,50,2019/10/6,10,25.63,0,43
40A249A8,28,50,2019/10/6,10,25.63,0,43
40A249A8,28,50,2019/10/6,10,25.65,0,44
40A249A8,28,50,2019/10/6,10,25.66,0,43
40A249A8,28,50,2019/10/6,10,25.68,0,43
40A249A8,28,50,2019/10/6,10,25.7,0,44
40A249A8,28,50,2019/10/6,10,25.71,0,44
40A249A8,28,50,2019/10/6,10,25.73,0,44
40A249A8,28,50,2019/10/6,10,25.74,0,44
40A249A8,28,50,2019/10/6,10,25.76,0,44
40A249A8,28,50,2019/10/6,10,25.78,0,44
40A249A8,28,50,2019/10/6,10,25.81,0,43
40A249A8,28,50,2019/10/6,10,25.83,0,44
40A249A8,28,50,2019/10/6,10,25.82,0,44
40A249A8,28,50,2019/10/6,10,25.83,0,44
40A249A8,28,50,2019/10/6,10,25.84,0,44
40A249A8,28,50,2019/10/6,10,25.84,0,44
40A249A8,28,50,2019/10/6,10,25.85,0,44
40A249A8,28,50,2019/10/6,10,25.85,0,44
40A249A8,28,50,2019/10/6,10,25.85,0,44
40A249A8,28,50,2019/10/6,10,25.86,0,44
40A249A8,28,50,2019/10/6,10,25.86,0,44
40A249A8,28,50,2019/10/6,10,25.88,0,44
40A249A8,28,50,2019/10/6,10,25.88,0,44
40A249A8,28,50,2019/10/6,10,25.91,0,44
40A249A8,28,50,2019/10/6,10,25.93,0,44
40A249A8,28,50,2019/10/6,10,25.94,0,44
40A249A8,28,50,2019/10/6,10,25.96,0,44
40A249A8,28,50,2019/10/6,10,25.97,0,44
40A249A8,28,50,2019/10/6,10,25.97,0,44
40A249A8,28,50,2019/10/6,10,25.98,0,44
40A249A8,28,50,2019/10/6,10,26.01,0,44
40A249A8,28,50,2019/10/6,10,26.03,0,44
40A249A8,28,50,2019/10/6,10,26.05,0,44
40A249A8,28,50,2019/10/6,10,26.07,0,43
40A249A8,28,50,2019/10/6,10,26.1,0,44
40A249A8,28,50,2019/10/6,10,26.12,0,44
40A249A8,28,50,2019/10/6,10,26.36,0,44
40A249A8,28,50,2019/10/6,10,26.14,0,44
40A249A8,28,50,2019/10/6,10,26.35,0,44
40A249A8,28,50,2019/10/6,10,26.15,0,44
40A249A8,28,50,2019/10/6,10,26.33,0,44
40A249A8,28,50,2019/10/6,10,26.15,0,44
40A249A8,28,50,2019/10/6,10,26.32,0,44
40A249A8,28,50,2019/10/6,10,26.17,0,44
40A249A8,28,50,2019/10/6,10,26.32,0,44
40A249A8,28,50,2019/10/6,10,26.2,0,44
40A249A8,28,50,2019/10/6,10,26.22,0,44
40A249A8,28,50,2019/10/6,10,26.23,0,44
40A249A8,28,50,2019/10/6,10,26.24,0,44
40A249A8,28,50,2019/10/6,10,26.26,0,44
40A249A8,28,50,2019/10/6,10,26.27,0,44
40A249A8,28,50,2019/10/6,10,26.3,0,44
40A249A8,28,50,2019/10/6,10,26.32,0,44
40A249A8,28,50,2019/10/6,10,26.34,0,44
40A249A8,28,50,2019/10/6,10,26.36,0,44
40A249A8,28,50,2019/10/6,10,26.39,0,44
40A249A8,28,50,2019/10/6,10,26.4,0,44
40A249A8,28,50,2019/10/6,10,26.4,0,44
40A249A8,28,50,2019/10/6,10,26.42,0,44
40A249A8,28,50,2019/10/6,10,26.45,0,44
40A249A8,28,50,2019/10/6,10,26.45,0,44
40A249A8,28,50,2019/10/6,10,26.46,0,44
40A249A8,28,50,2019/10/6,10,26.48,0,44
40A249A8,28,50,2019/10/6,10,26.5,0,44
40A249A8,28,50,2019/10/6,10,26.51,0,44
40A249A8,28,50,2019/10/6,10,26.53,0,44
40A249A8,28,50,2019/10/6,10,26.53,0,44
40A249A8,28,50,2019/10/6,10,26.53,0,44
40A249A8,28,50,2019/10/6,10,26.55,0,44
40A249A8,28,50,2019/10/6,10,26.56,0,44
40A249A8,28,50,2019/10/6,10,26.58,0,44
40A249A8,28,50,2019/10/6,10,26.58,0,44
40A249A8,28,50,2019/10/6,10,26.6,0,44
40A249A8,28,50,2019/10/6,10,26.6,0,44
40A249A8,28,50,2019/10/6,10,26.61,0,44
40A249A8,28,50,2019/10/6,10,26.63,0,44
40A249A8,28,50,2019/10/6,10,26.64,0,44
40A249A8,28,50,2019/10/6,10,26.65,0,43
40A249A8,28,50,2019/10/6,10,26.65,0,44
40A249A8,28,50,2019/10/6,10,26.67,0,43
40A249A8,28,50,2019/10/6,10,26.68,0,44
40A249A8,28,50,2019/10/6,10,26.68,0,44
40A249A8,28,50,2019/10/6,10,26.68,0,44
40A249A8,28,50,2019/10/6,10,26.69,0,44
40A249A8,28,50,2019/10/6,10,26.72,0,44
40A249A8,28,50,2019/10/6,10,26.73,0,44
40A249A8,28,50,2019/10/6,10,26.75,0,44
40A249A8,28,50,2019/10/6,10,26.77,0,44
40A249A8,28,50,2019/10/6,10,26.77,0,44
40A249A8,28,50,2019/10/6,10,26.77,0,44
40A249A8,28,50,2019/10/6,10,26.78,0,44
40A249A8,28,50,2019/10/6,10,26.79,0,44
40A249A8,28,50,2019/10/6,10,26.78,0,44
40A249A8,28,50,2019/10/6,10,26.78,0,44
40A249A8,28,50,2019/10/6,10,26.8,0,44
40A249A8,28,50,2019/10/6,10,26.81,0,44
40A249A8,28,50,2019/10/6,10,26.81,0,44
40A249A8,28,50,2019/10/6,10,26.81,0,44
40A249A8,28,50,2019/10/6,10,26.8,0,44
40A249A8,28,50,2019/10/6,10,26.81,0,44
40A249A8,28,50,2019/10/6,10,26.82,0,44
40A249A8,28,50,2019/10/6,10,26.82,0,44
